declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-657,MA,Maura Healey,657,administrative,Investing in Primary Care in Massachusetts,2026-08-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/55439d71-68bd-4e35-946e-e6321d70f220
MA-EO-656,MA,Maura Healey,656,administrative,Establishing a Statewide Strategy To Support Adults With Profound Autism,2026-03-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/bcf719f0-0498-40b8-b6fd-a84b1581adfe
MA-EO-655,MA,Maura Healey,655,amendment,Amending Executive Order No. 650 to Strengthen Protections for Places of Worship,2026-03-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/6cf0e6df-4318-4f66-a479-77900c4e5897
MA-EO-654,MA,Maura Healey,654,administrative,To Secure Massachusetts’ Energy Future by Establishing an Energy Supply Plan that Drives Affordability and Reliability,2026-03-16,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f75aa4ca-3ec5-4e7a-880a-f04a226c5c73
MA-EO-653,MA,Maura Healey,653,amendment,Amending Executive Order No. 652 to Extend the Temporary Ban on Motor Vehicle Travel to Dukes County,2026-02-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/76bf8eab-ffa9-4194-af53-73b485415940
MA-EO-652,MA,Maura Healey,652,administrative,Ensuring Public Safety by Imposing a Temporary Ban on Motor Vehicle Travel in Certain Counties,2026-02-23,,True,html,https://archives.lib.state.ma.us/entities/journalfile/2c632cf7-339e-46be-9912-16f27514ee78
MA-EO-651,MA,Maura Healey,651,administrative,Facilitating Safe and Affordable Single-Stair Multifamily Residential Buildings,2026-02-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/2f3534e7-2cf0-4f6a-8eb1-b1a47be99836
MA-EO-650,MA,Maura Healey,650,administrative,Protecting Access to Essential Services and Keeping Massachusetts Communities Safe,2026-01-29,,False,html,https://archives.lib.state.ma.us/entities/journalfile/da25db4f-252e-4083-bb45-93cc2ade804a
MA-EO-649,MA,Maura Healey,649,administrative,Reestablishing The Seaport Economic Council,2026-01-06,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d12df43e-67da-4700-90a8-4d120808bc4a
MA-EO-648,MA,Maura Healey,648,administrative,"Establishing a Strategic Hub for Innovation, Exchange and Leadership in Defense (SHIELD)",2025-10-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/99502062-cb40-420b-b419-67f0a8402c3d
MA-EO-647,MA,Maura Healey,647,administrative,Establishing the Governor's Competitiveness Council,2025-10-15,,False,html,https://archives.lib.state.ma.us/entities/journalfile/287231f6-fde4-430a-b699-f869747d7457
MA-EO-646,MA,Maura Healey,646,administrative,Re-Establishing the Governor's Special Advisory Commission on Disability Policy,2025-10-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/07f4405c-7df5-4511-bc18-9593572454b3
MA-EO-645,MA,Maura Healey,645,administrative,Establishing the Commission on PILOT for State-Owned Land,2025-08-13,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c8193773-5a35-4814-b1f7-f14bb27788eb
MA-EO-644,MA,Maura Healey,644,administrative,Establishing the Advisory Commission on Advancing Research and Discovery in Massachusetts,2025-08-01,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4121adde-a636-4221-8003-3581239ba142
MA-EO-643,MA,Maura Healey,643,administrative,Establishing the Governor’s Anti-Hunger Task Force,2025-07-17,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ac20cc52-9cd7-4aa9-a677-955c971f4551
MA-EO-642,MA,Maura Healey,642,administrative,Instituting Age-Friendly Practices,2025-05-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/9b2517b5-ec79-483b-9af9-a41bb305b8ca
MA-EO-641,MA,Maura Healey,641,administrative,Using Project Labor Agreements to Promote Successful Delivery of Major Projects,2025-03-11,,False,html,https://archives.lib.state.ma.us/entities/journalfile/2688c6a4-fa19-4fb7-82a4-e11598c40f55
MA-EO-640,MA,Maura Healey,640,administrative,Creating the Position of Poet Laureate of Massachusetts,2025-02-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/78e4c20c-c0eb-4dc5-9bae-a92c4109a5d6
MA-EO-639,MA,Maura Healey,639,administrative,Establishing a K-12 Statewide Graduation Council,2025-01-17,,False,html,https://archives.lib.state.ma.us/entities/journalfile/496329fa-364e-4429-b00e-c75e693cc712
MA-EO-638,MA,Maura Healey,638,administrative,Promoting the Equitable Participation of Women and Underrepresented Groups in Construction,2024-12-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/147ebfd9-76e2-452b-a22d-2d5e4642ad30
MA-EO-637,MA,Maura Healey,637,administrative,Recognizing the Herring Pond Wampanoag Tribe,2024-11-19,,False,html,https://archives.lib.state.ma.us/entities/journalfile/53361673-c47f-4240-999c-225f2ccb1cf7
MA-EO-636,MA,Maura Healey,636,administrative,Reaffirming and Reconstituting a State Rehabilitation Advisory Council for the Massachusetts Commission for the Blind,2024-08-15,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c502cb5e-cce8-4cc4-8af5-54d6f8d799ce
MA-EO-635,MA,Maura Healey,635,administrative,Affirming and Reconstituting a State Rehabilitation Advisory Council for the Massachusetts Rehabilitation Commission,2024-08-15,,False,html,https://archives.lib.state.ma.us/entities/journalfile/92977ee5-c748-4a86-aa3a-78606e40023b
MA-EO-634,MA,Maura Healey,634,amendment,Amendment to Executive Order 631,2024-06-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/066b3c14-2982-4444-9a7a-7debd328ab6a
MA-EO-633,MA,Maura Healey,633,administrative,Protecting Access to Emergency Abortion Care in Massachusetts,2024-06-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/bbea1565-869d-4269-ac40-0a29f49438b4
MA-EO-632,MA,Maura Healey,632,administrative,Establishing a Labor Advisory Council,2024-03-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8bff73e9-d180-4bfc-b328-b4a6a4596fee
MA-EO-631,MA,Maura Healey,631,administrative,Establishing a Cultural Policy Development Advisory Council,2024-03-01,,False,html,https://archives.lib.state.ma.us/entities/journalfile/b959ef7b-6f36-4bfe-9108-74c7ad646798
MA-EO-630,MA,Maura Healey,630,administrative,Establishing a Public Construction Projects Advisory Council,2024-03-01,,False,html,https://archives.lib.state.ma.us/entities/journalfile/a102d57a-cbad-46b7-ba84-5608cf15c047
MA-EO-629,MA,Maura Healey,629,administrative,Establishing an Artificial Intelligence Strategic Task Force,2024-02-15,,False,html,https://archives.lib.state.ma.us/entities/journalfile/77a5e2e1-b6c9-478d-9ffb-7933a70b83fe
MA-EO-628,MA,Maura Healey,628,administrative,Establishing an Artificial Intelligence Strategic Task Force,2024-02-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/3520b642-dac4-418e-818e-a92ec32a0c93
MA-EO-627,MA,Maura Healey,627,administrative,Instituting Skills-Based Hiring Practices,2024-01-25,,False,html,https://archives.lib.state.ma.us/entities/journalfile/9f18fee7-a2a5-4b8e-a912-2816bbd8b62f
MA-EO-626,MA,Maura Healey,626,administrative,Creating the Governor's Transportation Funding Task Force,2024-01-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/07c72537-029b-4f08-ba0c-f1c365051996
MA-EO-625,MA,Maura Healey,625,administrative,"Establishing an Inter-Agency Task Force on Ensuring Affordable, High-Quality Child Care",2024-01-16,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ee23aec9-98c9-435c-8a0a-7546478b253f
MA-EO-624,MA,Maura Healey,624,administrative,Establishing the Federal Funds and Infrastructure Office and the Advisory Council on Federal Funds and Infrastructure,2023-10-19,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d5eaf543-4d54-45c8-8a1f-489af2fea809
MA-EO-623,MA,Maura Healey,623,administrative,Identifying Opportunities for the Use of Surplus and Underutilized Land for Housing,2023-10-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4e75aaa4-761d-4a61-a1c0-0c94da75bed2
MA-EO-622,MA,Maura Healey,622,administrative,Establishing the Commission on Unlocking Housing Production,2023-10-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/85cd95f7-7161-4ec0-95d8-1543de0e0e38
MA-EO-621,MA,Maura Healey,621,administrative,Establishing the Housing Advisory Council,2023-10-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8c6b9685-6d89-4763-9494-52f2f2b9ab94
MA-EO-620,MA,Maura Healey,620,administrative,Establishing the Commission on Energy Infrastructure Siting and Permitting,2023-09-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e521fc5d-0613-4bd7-953c-3d4901cc2ea1
MA-EO-619,MA,Maura Healey,619,administrative,Eliminating the Purchase by the Executive Department of Single-Use Plastic Bottles,2023-09-21,,False,html,https://archives.lib.state.ma.us/entities/journalfile/9e3c90bc-d58b-4764-9b91-243d36452d44
MA-EO-618,MA,Maura Healey,618,administrative,Biodiversity Conservation in Massachusetts,2023-09-21,,False,html,https://archives.lib.state.ma.us/entities/journalfile/844eb761-f3c1-44c7-acd4-e15e3584eab4
MA-PROC-2023-09-15-1f694eff,MA,Maura Healey,,declaration,"Governor Healey Issues Emergency Declaration, Activates National Guard Ahead of Hurricane Lee",2023-09-15,,True,html,https://archives.lib.state.ma.us/entities/journalfile/1f694eff-422f-4bd4-a520-4e2bb8c69662
MA-EO-617,MA,Maura Healey,617,administrative,Establishing the Governor's Youth Advisory Council,2023-09-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/576ad09e-fbd4-40f2-8d7c-c07c4b3ce118
MA-EO-616,MA,Maura Healey,616,administrative,Order Constituting the Supreme Judicial Nominating Commission,2023-09-13,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ce412f75-c76f-40b6-b36e-1038f11a4a23
MA-EO-615,MA,Maura Healey,615,administrative,Promoting Access to Government Services and Information by Identifying and Minimizing Language Access Barriers,2023-09-13,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0d3cbd8a-aa81-4c05-a1a4-ef3710730b91
MA-PROC-2023-09-12-5a06b71f,MA,Maura Healey,,declaration,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,,True,html,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441
MA-EO-614,MA,Maura Healey,614,administrative,Establishing the Digital Accessibility and Equity Governance Board,2023-07-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d6879c20-223e-4126-9913-f915a88661ce
MA-EO-613,MA,Maura Healey,613,administrative,Reaffirming and Establishing the Governor's Advisory Council on Veterans' Services,2023-05-25,,False,html,https://archives.lib.state.ma.us/entities/journalfile/1a1598a6-bd55-4682-aaf4-e974d53c540b
MA-EO-612,MA,Maura Healey,612,administrative,Instituting the Practice of Equity Assessment Government-Wide and Creating the Inter-Agency Coordinating Committee on Increasing Equity Through Data,2023-05-05,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8c36b37f-286e-4120-8db6-007f58a10950
MA-EO-611,MA,Maura Healey,611,administrative,"Establishing the Governor's Council to Address Sexual Assault, Domestic Violence, and Human Trafficking",2023-04-28,,False,html,https://archives.lib.state.ma.us/entities/journalfile/985cda7d-a5a4-45e5-986e-308d8b59c576
MA-EO-610,MA,Maura Healey,610,administrative,Reconstituting the Judicial Nominating Commission and Establishing a Code of Conduct for Commission Members and Nominees to Judicial Oﬃce,2023-04-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/648cad5c-c59a-4404-bfd3-1c03a80f4208
MA-EO-609,MA,Maura Healey,609,administrative,Protecting Access to Medication Abortion Services in the Commonwealth,2023-04-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0143f742-a205-494d-b963-da976fb6c973
MA-EO-608,MA,Maura Healey,608,administrative,Establishing the Governor's Council on Latino Empowerment,2023-04-05,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4a979804-31dc-4e57-9355-2fe9c358a097
MA-EO-607,MA,Maura Healey,607,termination,Rescinding Executive Order No. 595,2023-03-15,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d336f262-ee58-4bc5-8fd7-dcf12afb0b43
MA-EO-606,MA,Maura Healey,606,administrative,Establishing the Governor's Council on Black Empowerment.,2023-02-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/2c83a53f-7a7c-4277-b1d8-3408ab2f4fd0
MA-EO-605,MA,Maura Healey,605,administrative,Establishing a Working Group to Envision the Creation of a Housing Secretariat.,2023-01-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/998548a7-97d1-490d-9a96-4f8f5fba4bc0
MA-EO-604,MA,Maura Healey,604,administrative,Establishing the Office of Climate Innovation and Resilience within the Office of the Governor.,2023-01-06,,False,html,https://archives.lib.state.ma.us/entities/journalfile/344a3c34-149c-4878-b8dc-01ba8d8b64f8
MA-EO-603,MA,Charlie Baker,603,termination,Rescinding Certain Executive Orders,2022-12-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/92b8a425-1ca9-4c37-a5a5-91e75eb1fc53
MA-EO-602,MA,Charlie Baker,602,administrative,Establishing the Massachusetts Cyber Incident Response Team,2022-12-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/668eb939-9c82-4bbf-a4e9-dfc90e30264a
MA-EO-601,MA,Charlie Baker,601,termination,Rescinding Executive Order No. 600,2022-08-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/50771526-bc3a-43a1-956c-9efbb46a548d
MA-EO-600,MA,Charlie Baker,600,administrative,Protecting Access to Reproductive Health Care Services in the Commonwealth,2022-06-24,2022-08-24,False,html,https://archives.lib.state.ma.us/entities/journalfile/766a22cb-9b1c-4a86-8ea5-958bc28a103c
MA-EO-599,MA,Charlie Baker,599,administrative,"Reaffirming Programs to Ensure Diversity, Equity, and Inclusion for Diverse and Small Massachusetts Businesses in State Procurement and Contracting",2022-06-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4b252c3e-40cf-41ee-8b84-b31d48648723
MA-EO-598,MA,Charlie Baker,598,administrative,Reaffirming and Reconstituting a Rehabilitation Advisory Council for the Massachusetts Commission for the Blind,2022-05-24,2024-08-15,False,html,https://archives.lib.state.ma.us/entities/journalfile/1e1edf65-2dcb-425f-b88f-e767ee0957a2
MA-EO-597,MA,Charlie Baker,597,administrative,Executive Order (new series) No. 597,2022-03-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/076e1684-caab-4f76-a873-b437bc5e86f6
MA-EO-596,MA,Charlie Baker,596,administrative,Executive Order (new series) No. 596,2021-09-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/5c4808b7-2c88-48f6-860b-2e99b0623793
MA-EO-595,MA,Charlie Baker,595,administrative,Executive Order (new series) No. 595,2021-08-19,2023-03-15,False,html,https://archives.lib.state.ma.us/entities/journalfile/08e1f410-b915-41fe-8d3b-c385d6a4fd00
MA-EO-594,MA,Charlie Baker,594,administrative,Leading by Example: Decarbonizing and Minimizing Environmental Impacts of State Government,2021-04-22,,False,html,https://archives.lib.state.ma.us/entities/journalfile/5e16c249-d9e8-46be-bbc3-97fe29ebddd6
MA-EO-593,MA,Charlie Baker,593,administrative,To promote timely and efficient reciprocal licensing for military families licensed in certain occupations and professions,2021-02-16,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/764cbd52-5edd-469d-b261-518d4202966a
MA-EO-592,MA,Charlie Baker,592,administrative,"Order Advancing Workforce Diversity, Inclusion, Equal Opportunity, Non-discrimination, and Affirmative Action",2020-10-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/16fc2cb8-03d2-4ff1-b58b-7474e909c7be
MA-EO-591,MA,Charlie Baker,591,administrative,Order Constituting the Supreme Judicial Court Nominating Commission,2020-03-05,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/cdbf5923-f00f-4e05-9753-e65dd7dc6549
MA-EO-590,MA,Charlie Baker,590,administrative,Establishing a Statewide Independent Living Council,2019-12-11,,False,html,https://archives.lib.state.ma.us/entities/journalfile/208598f1-211b-48ad-80e9-52f17e73e677
MA-EO-589,MA,Charlie Baker,589,administrative,Merged Market Advisory Council,2019-10-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/7ba154d2-d102-49b8-9be1-3d5b79995bab
MA-EO-588,MA,Charlie Baker,588,administrative,Executive Order (new series) No. 588,2019-08-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e90e84d1-6905-46f5-9acd-b4e7e5560c94
MA-EO-587,MA,Charlie Baker,587,administrative,Updating And Expanding The Seaport Economic Council.,2019-04-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/29134e6a-9452-45bb-9c1c-04961cc016aa
MA-EO-586,MA,Charlie Baker,586,administrative,Reaffirming and Reconstituting the Governor’s Council to Address Sexual Assault and Domestic Violence,2019-04-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8a04220d-1016-4d2c-9057-de0683d9fc1d
MA-EO-585,MA,Charlie Baker,585,administrative,Reaffirming and Restructuring the Massachusetts Digital Healthcare Council,2018-10-31,,False,html,https://archives.lib.state.ma.us/entities/journalfile/2ec7641d-48c4-4086-bb40-ab44dcacfc83
MA-EO-584,MA,Charlie Baker,584,administrative,Ensuring Access to Skilled Labor by Varying the Terms of Plumbing Licensure in the Commonwealth,2018-10-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e1f9f7af-5ecc-43be-92ee-0d9b9d11d6be
MA-EO-583,MA,Charlie Baker,583,administrative,Establishing the Massachusetts Large Venue Security Task Force,2018-10-04,,False,html,https://archives.lib.state.ma.us/entities/journalfile/2f7452cc-bae9-4949-b82b-187067676f78
MA-EO-582,MA,Charlie Baker,582,administrative,Ensuring Access to Skilled Labor By Varying The Terms of Plumbing Licensure in the Commonwealth,2018-10-04,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/3c94bc05-f2b0-45f7-b754-3e2db1ef6bdb
MA-EO-581,MA,Charlie Baker,581,administrative,Establishing the Commission on Digital Innovation and Lifelong Learning,2018-04-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c2e3cb33-f08b-4205-ae5f-e41d56bbff43
MA-PROC-2018-03-03-7107885f,MA,Charlie Baker,,declaration,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,,True,html,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5
MA-EO-580,MA,Charlie Baker,580,administrative,Commission on the Future of Transportation,2018-02-05,,False,html,https://archives.lib.state.ma.us/entities/journalfile/77852a0d-fe13-413c-b578-8c62094c1cd6
MA-EO-579,MA,Charlie Baker,579,administrative,Establishing the Commission on the Future of Transportation in the Commonwealth,2018-01-23,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/a749e0d0-80fa-477d-aace-3a96e9532257
MA-EO-578,MA,Charlie Baker,578,administrative,Reaffirming and Restructuring the Governor's Task Force on Hate Crimes,2017-11-06,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/5a498b1c-3919-4268-8fa4-ff19702d1e35
MA-EO-577,MA,Charlie Baker,577,administrative,Establishing the Latino Advisory Commission,2017-07-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e5fd45b3-1498-418e-95dd-6511167e3bb4
MA-EO-576,MA,Charlie Baker,576,administrative,Launching the Governor’s Council to Address Aging in Massachusetts,2017-04-12,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/182710a8-517e-4e1b-98b6-f651ff77af0b
MA-EO-575,MA,Charlie Baker,575,administrative,Establishing the Black Advisory Commission.,2017-02-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/caa4f71c-a21f-4a1e-8098-ff444f1cadd5
MA-EO-574,MA,Charlie Baker,574,administrative,Establishing the Massachusetts Digital Healthcare Council,2016-11-17,,False,html,https://archives.lib.state.ma.us/entities/journalfile/16ae7147-52e1-44a0-8b2a-83f7f4adc5a9
MA-EO-573,MA,Charlie Baker,573,administrative,Reaffirming and Restructuring the Governor's Advisory Council on Veterans' Services,2016-11-04,2023-05-25,False,html,https://archives.lib.state.ma.us/entities/journalfile/0fad9eda-dc18-4098-a043-ffba6ce0984c
MA-EO-572,MA,Charlie Baker,572,administrative,To Promote the Testing and Deployment of Highly Automated Driving Technologies,2016-10-20,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/dd52cad6-2132-4dae-a175-d9ef3530050a
MA-EO-571,MA,Charlie Baker,571,administrative,Executive Order (new series) No. 571,2016-10-06,,False,html,https://archives.lib.state.ma.us/entities/journalfile/023c5a2c-0a0e-4d37-8fcb-bc2a3160fa41
MA-EO-570,MA,Charlie Baker,570,administrative,"Reaffirming and Expanding the Plymouth, Massachusetts 400th Anniversary Commission.",2016-09-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/c85cee1a-313e-4307-ab4a-7b72033900ea
MA-EO-569,MA,Charlie Baker,569,administrative,Establishing an Integrated Climate Change Strategy for the Commonwealth,2016-09-16,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8e7f7b33-4835-4707-a51b-0be04a0b0fa4
MA-EO-568,MA,Charlie Baker,568,administrative,Establishing a Zero Tolerance Policy for Human Trafficking and Related Activities,2016-04-07,,False,html,https://archives.lib.state.ma.us/entities/journalfile/522b87ee-9f48-4570-8ad2-a3d4dd343db8
MA-EO-567,MA,Charlie Baker,567,administrative,To Ensure Proper Review of the Regulation of Professional Licensing by Independent Boards,2016-03-28,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0788f4ab-d3bf-47a9-a8f6-6fcbc87370be
MA-EO-566,MA,Charlie Baker,566,administrative,Order Constituting the Supreme Judicial Court Nominating Commission,2016-02-10,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/d759c636-b139-4821-ac42-5954882aa418
MA-EO-565,MA,Charlie Baker,565,administrative,Reaffirming and Expanding the Massachusetts Supplier Diversity Program,2015-11-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0ab51295-0f56-410d-83ed-301d343de299
MA-EO-564,MA,Charlie Baker,564,administrative,Establishing the Seaport Economic Council.,2015-08-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/abf9d354-b1c0-4e8a-878a-865061372d5a
MA-EO-563,MA,Charlie Baker,563,administrative,Executive Order (new series) No. 563,2015-04-27,2019-04-10,False,html,https://archives.lib.state.ma.us/entities/journalfile/13d948a2-0a7e-4166-9722-f3bd8b21938a
MA-EO-562,MA,Charlie Baker,562,administrative,To Reduce Unnecessary Regulatory Burden,2015-03-31,,False,html,https://archives.lib.state.ma.us/entities/journalfile/5c723481-01b5-4ddc-8f11-95572c176693
MA-EO-561,MA,Charlie Baker,561,administrative,Establishing a State Task Force on Economic Opportunity for Populations Facing Chronically High Rates of Unemployment,2015-03-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/dd8837ec-6109-4025-b515-ce0f58247b9d
MA-EO-560,MA,Charlie Baker,560,administrative,Creating the Workforce Skills Department,2015-02-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0ca1a059-2d01-4944-9164-57845ac40f69
MA-EO-559,MA,Charlie Baker,559,administrative,Establishing the Office of Access and Opportunity within the Office of the Governor,2015-02-18,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0dc0389b-6f16-4b9f-ac8c-2626709a8c6e
MA-EO-558,MA,Charlie Baker,558,administrative,Order Reconstituting the Judicial Nominating Commission and Establishing a Code of Conduct for Commission Members and Nominees to Judicial Office,2015-02-05,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e8831681-2384-4da3-9432-3b6251a1bcd6
MA-EO-557,MA,Charlie Baker,557,administrative,Final Rescission of the Temporary Ban on Motor Vehicle Travel,2015-01-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4ebd0d11-8fed-476a-84fc-a841cfbfc9bf
MA-EO-556,MA,Charlie Baker,556,administrative,Partial Rescission of the Temporary Ban on Motor Vehicle Travel,2015-01-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/17f7d52a-d58a-4d0c-bf90-247e7701ead5
MA-EO-555,MA,Charlie Baker,555,administrative,Ensuring Public Safety by Imposing a Temporary Ban on Motor Vehicle Travel,2015-01-26,2015-01-27,True,html,https://archives.lib.state.ma.us/entities/journalfile/4e428c8e-fa2e-4a07-82e9-53cbcb88ebca
MA-EO-554,MA,Charlie Baker,554,administrative,Creating the Community Compact Cabinet,2015-01-23,,False,html,https://archives.lib.state.ma.us/entities/journalfile/22e0886f-9e84-423d-8783-bff692f5b8f7
MA-EO-553,MA,Deval Patrick,553,administrative,Establishing the Massachusetts Percent for Art Program & the Public Art Commission,2014-12-10,,False,html,https://archives.lib.state.ma.us/entities/journalfile/41f714fa-ce03-4f51-80ff-ec740d33821b
MA-EO-552,MA,Deval Patrick,552,administrative,Executive Order On Environmental Justice,2014-11-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/3c5aad0e-c582-46ba-a0a5-f4cd670426c2
MA-EO-551,MA,Deval Patrick,551,administrative,Establishing a Commission to Study Compensation of Assistant District Attorneys and Public Defenders,2014-07-28,,False,html,https://archives.lib.state.ma.us/entities/journalfile/6715a838-a5a6-4a31-b69c-d6b902c60f95
MA-EO-550,MA,Deval Patrick,550,administrative,Establishing a Task Force on Successful Women in the Workplace,2014-03-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/73733b0e-da55-4351-8f45-22f10e90a67a
MA-EO-549,MA,Deval Patrick,549,administrative,Enhancing the Efficiency and Effectiveness of the Executive Department's Information Technology Systems,2014-02-03,2019-08-26,False,html,https://archives.lib.state.ma.us/entities/journalfile/98a65031-8d3a-4d8d-a504-22771172704c
MA-EO-548,MA,Deval Patrick,548,administrative,Establishing a Cross-Secretariat Task Force on School Safety and Security,2014-01-16,,False,html,https://archives.lib.state.ma.us/entities/journalfile/fe1f3440-6b7d-4d06-a6f1-948243354407
MA-EO-547,MA,Deval Patrick,547,administrative,Renaming of the Massachusetts Military Reservation to Joint Base Cape Cod,2013-07-19,,False,html,https://archives.lib.state.ma.us/entities/journalfile/649aed24-2242-448b-9025-6b26d596edc7
MA-EO-546,MA,Deval Patrick,546,administrative,Establishing the Service-Disabled Veteran Owned Business Enterprise Program,2013-03-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d7c49518-1758-47dc-ad08-23f82e76bb70
MA-EO-545,MA,Deval Patrick,545,termination,Travel Ban Rescinded,2013-02-09,,False,html,https://archives.lib.state.ma.us/entities/journalfile/320a0556-68db-4f8a-9d2d-7c82ceabbc78
MA-EO-544,MA,Deval Patrick,544,administrative,Motor Vehicle Travel Ban,2013-02-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8e136960-d3f6-42b5-81ec-a6c43100ae3c
MA-EO-543,MA,Deval Patrick,543,administrative,Implementing Integrated Facilities Management in the Commonwealth,2012-07-24,2022-12-14,False,html,https://archives.lib.state.ma.us/entities/journalfile/2f285153-cd6b-4477-9fba-8df86a87ec9d
MA-EO-542,MA,Deval Patrick,542,administrative,Establishing the Governor's Council for Innovation,2012-03-19,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f8ea3cb1-4c9a-47aa-966d-79773c08a1df
MA-EO-541,MA,Deval Patrick,541,administrative,Establishing the Commonwealth's Military Asset and Security Strategy Task Force,2012-02-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ccd50474-65e0-46fa-b162-fa0e7ad9cbb6
MA-EO-540,MA,Deval Patrick,540,administrative,Improving the Performance of State Government by Implementing a Comprehensive Strategic Planning and Performance Management Framework in the Executive Departments,2012-02-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/ad9bae71-25fe-4efc-9f8b-915a950ddf58
